,style_weight,epoch,total_loss,style_loss,content_loss
0,1.0,1,5215565300.0,5215565300.0,0.0
1,1.0,2,14896134000.0,14894047000.0,2086447.2
2,1.0,3,20368935000.0,20366330000.0,2605585.2
3,1.0,4,12220074000.0,12217626000.0,2448039.2
4,1.0,5,10253393000.0,10250869000.0,2524374.8
5,1.0,6,10363147000.0,10360565000.0,2582783.0
6,1.0,7,9653072000.0,9650500000.0,2572659.0
7,1.0,8,9222412000.0,9219842000.0,2569758.5
8,1.0,9,8945859000.0,8943277000.0,2581953.2
9,1.0,10,8407960000.0,8405361700.0,2598524.2
10,1.0,11,7811239400.0,7808625700.0,2613506.8
11,1.0,12,7359080000.0,7356453000.0,2627072.8
12,1.0,13,6991702000.0,6989068300.0,2633672.0
13,1.0,14,6677944300.0,6675306500.0,2637705.2
14,1.0,15,6409654000.0,6407012400.0,2641625.2
15,1.0,16,6175782400.0,6173135000.0,2647327.2
16,1.0,17,5936858000.0,5934205000.0,2652943.0
17,1.0,18,5689486300.0,5686825500.0,2660917.8
18,1.0,19,5450133000.0,5447462000.0,2670924.0
19,1.0,20,5233539000.0,5230859000.0,2680276.8
20,1.0,21,5037596700.0,5034906000.0,2690329.5
21,1.0,22,4858049000.0,4855351300.0,2697557.2
22,1.0,23,4683762000.0,4681062000.0,2700375.0
23,1.0,24,4515967500.0,4513265700.0,2702013.5
24,1.0,25,4354845700.0,4352141300.0,2704475.8
25,1.0,26,4204701400.0,4201995500.0,2705902.2
26,1.0,27,4063327200.0,4060620500.0,2706807.2
27,1.0,28,3928891600.0,3926180900.0,2710685.8
28,1.0,29,3800140300.0,3797425000.0,2715308.8
29,1.0,30,3677523200.0,3674803000.0,2720266.5
30,1.0,31,3556148000.0,3553422600.0,2725251.2
31,1.0,32,3437882600.0,3435152600.0,2729996.5
32,1.0,33,3322741000.0,3320007700.0,2733406.0
33,1.0,34,3215089400.0,3212352500.0,2736994.5
34,1.0,35,3114297300.0,3111555600.0,2741812.2
35,1.0,36,3020787500.0,3018040000.0,2747289.0
36,1.0,37,2934422300.0,2931669500.0,2752892.5
37,1.0,38,2855841500.0,2853083400.0,2758137.5
38,1.0,39,2780578800.0,2777816600.0,2762334.2
39,1.0,40,2705809200.0,2703043600.0,2765694.5
40,1.0,41,2630859500.0,2628091600.0,2767989.2
41,1.0,42,2555908600.0,2553138000.0,2770760.5
42,1.0,43,2479729700.0,2476956700.0,2773007.5
